C4pI8p	700	700	700	0.4	2	6
C4pI7p	700	700	700	0.4	2	7
C4pI6p	700	700	700	0.4	2	8
C4pI5p	700	700	700	0.4	2	9
C4pI4p	700	700	700	0.4	2	10
C4pI3p	700	700	700	0.4	2	11
C4pI2p	700	700	700	0.4	2	12
C4pI1p	700	700	700	0.4	2	13
C3pI8p	700	700	700	0.4	3	6
C3pI7p	700	700	700	0.4	3	7
C3pI6p	700	700	700	0.4	3	8
C3pI5p	700	700	700	0.4	3	9
C3pI4p	700	700	700	0.4	3	10
C3pI3p	700	700	700	0.4	3	11
C3pI2p	700	700	700	0.4	3	12
C3pI1p	700	700	700	0.4	3	13
C2pI8p	700	700	700	0.4	4	6
C2pI7p	700	700	700	0.4	4	7
C2pI6p	700	700	700	0.4	4	8
C2pI5p	700	700	700	0.4	4	9
C2pI4p	700	700	700	0.4	4	10
C2pI3p	700	700	700	0.4	4	11
C2pI2p	700	700	700	0.4	4	12
C2pI1p	700	700	700	0.4	4	13
C1pI8p	700	700	700	0.4	5	6
C1pI7p	700	700	700	0.4	5	7
C1pI6p	700	700	700	0.4	5	8
C1pI5p	700	700	700	0.4	5	9
C1pI4p	700	700	700	0.4	5	10
C1pI3p	700	700	700	0.4	5	11
C1pI2p	700	700	700	0.4	5	12
C1pI1p	700	700	700	0.4	5	13
I8pI8p	700	700	700	1	6	6
I8pI7p	700	700	700	1	6	7
I8pI6p	700	700	700	1	6	8
I8pI5p	700	700	700	1	6	9
I8pI4p	700	700	700	1	6	10
I8pI3p	700	700	700	1	6	11
I8pI2p	700	700	700	1	6	12
I8pI1p	700	700	700	1	6	13
I7pI7p	700	700	700	1	7	7
I7pI6p	700	700	700	1	7	8
I7pI5p	700	700	700	1	7	9
I7pI4p	700	700	700	1	7	10
I7pI3p	700	700	700	1	7	11
I7pI2p	700	700	700	1	7	12
I7pI1p	700	700	700	1	7	13
I6pI6p	700	700	700	1	8	8
I6pI5p	700	700	700	1	8	9
I6pI4p	700	700	700	1	8	10
I6pI3p	700	700	700	1	8	11
I6pI2p	700	700	700	1	8	12
I6pI1p	700	700	700	1	8	13
I5pI5p	700	700	700	1	9	9
I5pI4p	700	700	700	1	9	10
I5pI3p	700	700	700	1	9	11
I5pI2p	700	700	700	1	9	12
I5pI1p	700	700	700	1	9	13
I4pI4p	700	700	700	1	10	10
I4pI3p	700	700	700	1	10	11
I4pI2p	700	700	700	1	10	12
I4pI1p	700	700	700	1	10	13
I3pI3p	700	700	700	1	11	11
I3pI2p	700	700	700	1	11	12
I3pI1p	700	700	700	1	11	13
I2pI2p	700	700	700	1	12	12
I2pI1p	700	700	700	1	12	13
I1pI1p	700	700	700	1	13	13
