C1pI1p	0.02	0.04	0.04	0.702
C1pI2p	0.02	0.04	0.04	0.725
C1pI3p	0.02	0.04	0.04	0.727
C1pI4p	0.02	0.04	0.04	0.721
C1pI5p	0.02	0.04	0.04	0.716
C1pI6p	0.02	0.04	0.04	0.711
C1pI7p	0.02	0.04	0.04	0.71
C2pI1p	0.02	0.04	0.04	0.763
C2pI2p	0.02	0.04	0.04	0.777
C2pI3p	0.02	0.04	0.04	0.767
C2pI4p	0.02	0.04	0.04	0.758
C2pI5p	0.02	0.04	0.04	0.751
C2pI6p	0.02	0.04	0.04	0.754
C2pI7p	0.02	0.04	0.04	0.75
C2pI8p	0.02	0.04	0.04	0.752
C2pI9p	0.02	0.04	0.04	0.756
C2pI10p	0.02	0.04	0.04	0.76
C2pI11p	0.02	0.04	0.04	0.76
C3pI3p	0.02	0.04	0.04	0.796
C3pI4p	0.02	0.04	0.04	0.782
C3pI5p	0.02	0.04	0.04	0.77
C3pI6p	0.02	0.04	0.04	0.775
C3pI7p	0.02	0.04	0.04	0.771
C3pI8p	0.02	0.04	0.04	0.771
C3pI9p	0.02	0.04	0.04	0.779
C3pI10p	0.02	0.04	0.04	0.776
C3pI11p	0.02	0.04	0.04	0.784
C3pI12p	0.02	0.04	0.04	0.784
C3pI13p	0.02	0.04	0.04	0.802
C3pI14p	0.02	0.04	0.04	0.803
C3pI15p	0.02	0.04	0.04	0.812
C4pI4p	0.02	0.04	0.04	0.792
C4pI5p	0.02	0.04	0.04	0.782
C4pI6p	0.02	0.04	0.04	0.785
C4pI7p	0.02	0.04	0.04	0.779
C4pI8p	0.02	0.04	0.04	0.778
C4pI9p	0.02	0.04	0.04	0.788
C4pI10p	0.02	0.04	0.04	0.783
C4pI11p	0.02	0.04	0.04	0.799
C4pI12p	0.02	0.04	0.04	0.795
C4pI13p	0.02	0.04	0.04	0.785
C4pI14p	0.02	0.04	0.04	0.804
C4pI15p	0.02	0.04	0.04	0.774
